epoch,fitness
0,0.5938919687570098
1,0.5938919687570098
2,0.5938919687570098
3,0.5938919687570098
4,0.5938919687570098
5,0.5938919687570098
6,0.5938919687570098
7,0.5938919687570098
8,0.5938919687570098
9,0.5938919687570098
10,0.5938919687570098
11,0.5938919687570098
12,0.5938919687570098
13,0.5938919687570098
14,0.5938919687570098
15,0.5938919687570098
16,0.5822461815180087
17,0.5822461815180087
18,0.5822461815180087
19,0.5822461815180087
20,0.5822461815180087
21,0.5822461815180087
22,0.5822461815180087
23,0.5822461815180087
24,0.5822461815180087
25,0.5822461815180087
26,0.5822461815180087
27,0.5822461815180087
28,0.5822461815180087
29,0.5822461815180087
30,0.5822461815180087
31,0.5822461815180087
32,0.5822461815180087
33,0.5822461815180087
34,0.5822461815180087
35,0.5822461815180087
36,0.5822461815180087
37,0.5822461815180087
38,0.5822461815180087
39,0.5822461815180087
40,0.5822461815180087
41,0.5822461815180087
42,0.5822461815180087
43,0.5822461815180087
44,0.5822461815180087
45,0.5822461815180087
46,0.5822461815180087
47,0.5822461815180087
48,0.5822461815180087
49,0.5822461815180087
50,0.5822461815180087
51,0.5822461815180087
52,0.5822461815180087
53,0.5822461815180087
54,0.5822461815180087
55,0.5822461815180087
56,0.5822461815180087
57,0.5822461815180087
58,0.5822461815180087
59,0.5822461815180087
60,0.5822461815180087
61,0.5822461815180087
62,0.5822461815180087
63,0.5822461815180087
64,0.5822461815180087
65,0.5822461815180087
66,0.5822461815180087
67,0.5822461815180087
68,0.5822461815180087
69,0.5822461815180087
70,0.5822461815180087
71,0.5822461815180087
72,0.5822461815180087
73,0.5822461815180087
74,0.5822461815180087
75,0.5822461815180087
76,0.5822461815180087
77,0.5822461815180087
78,0.5822461815180087
79,0.5822461815180087
80,0.5822461815180087
81,0.5822461815180087
82,0.5822461815180087
83,0.5822461815180087
84,0.5822461815180087
85,0.5822461815180087
86,0.5822461815180087
87,0.5822461815180087
88,0.5822461815180087
89,0.5822461815180087
90,0.5822461815180087
91,0.5822461815180087
92,0.5822461815180087
93,0.5822461815180087
94,0.5822461815180087
95,0.5822461815180087
96,0.5822461815180087
97,0.5822461815180087
98,0.5822461815180087
99,0.5822461815180087
100,0.5822461815180087
101,0.5822461815180087
102,0.5822461815180087
103,0.5822461815180087
104,0.5822461815180087
105,0.5822461815180087
106,0.5822461815180087
107,0.5822461815180087
108,0.5822461815180087
109,0.5822461815180087
110,0.5822461815180087
111,0.5822461815180087
112,0.5822461815180087
113,0.5822461815180087
114,0.5822461815180087
115,0.5822461815180087
116,0.5822461815180087
117,0.5822461815180087
118,0.5822461815180087
119,0.5822461815180087
